Oct 06 12:53:24 <h4sh3d>	Meeting on an hour
Oct 06 13:59:08 <zkao>	im awake
Oct 06 13:59:17 <zkao>	in time :D haha
Oct 06 14:01:17 <h4sh3d>	Hi
Oct 06 14:02:40 <zkao>	TheCharlatan lederstrumpf[m] ping
Oct 06 14:02:43 <lederstrumpf[m]>	Hi
Oct 06 14:05:41 <h4sh3d>	Maybe I can start sharing some of my work this week
Oct 06 14:05:05 <zkao>	topics to discuss: feature-freeze, finalize and deliver M2 of the CCS (=a functioning node), along with a community update
Oct 06 14:06:05 <h4sh3d>	and maybe also time of the meeting (if we want to move it)
Oct 06 14:07:02 <lederstrumpf[m]>	kayabaNerve: I'll get back to you after the meeting to not thread together different discussions.
Oct 06 14:07:44 <lederstrumpf[m]>	> and maybe also time of the meeting (if we want to move it)
Oct 06 14:07:44 <lederstrumpf[m]>	I'm fine with the current time, but also flexible to move it
Oct 06 14:08:14 <zkao>	as i wrote here a couple of days ago, im mostly complete with swapd, now the work is really just clean up, but im not doing it while lederstrumpf is changing the same file
Oct 06 14:08:23 <zkao>	and i have stuff to do till thurday
Oct 06 14:09:33 <h4sh3d>	I worked on some crate around farcaster, testing some docker stack with our node (not published yet), and improving CI for our rust project (more decentralized management/more access for releases etc)
Oct 06 14:09:46 <h4sh3d>	also available to review and merge what's coming from lederstrumpf[m]
Oct 06 14:09:30 <zkao>	i left a PR open, because merging it was causing some dependency error, not sure why, but did not investigate
Oct 06 14:09:43 <zkao>	so just pinned a commit of core that was working
Oct 06 14:10:33 <zkao>	/ithub.com/farcaster-project/farcaster-node/pull/125
Oct 06 14:11:30 <h4sh3d>	i'm happy to help aligning dependencies once lederstrumpf[m] says go
Oct 06 14:11:34 <zkao>	the thing is that he doesnt haha
Oct 06 14:11:46 <lederstrumpf[m]>	haha ^^
Oct 06 14:12:41 <h4sh3d>	lederstrumpf[m]: what is the state of splitting the messages
Oct 06 14:12:54 <h4sh3d>	when do you think #153 will be ready
