Jul 14 14:01:28 <h4sh3d>	Hi
Jul 14 14:02:24 <lederstrumpf[m]>	Hi - on the road and I'll be afk for now - might join later.
Jul 14 14:08:45 <TheCharlatan>	so... what have you been up to h4sh3d?
Jul 14 14:10:08 <h4sh3d>	I opened a PR on the node to integrate updates in core: https://github.com/farcaster-project/farcaster-node/pull/48
Jul 14 14:10:59 <h4sh3d>	I think the best option for this one is to rebase ontop of https://github.com/farcaster-project/farcaster-node/pull/47 and see how it goes (I didn't yet)
Jul 14 14:12:54 <h4sh3d>	I reworked the encoding in core https://github.com/farcaster-project/farcaster-core/pull/59 and integrated some quick changes to wallet to integrate better in node https://github.com/farcaster-project/farcaster-core/pull/61
Jul 14 14:13:43 <h4sh3d>	about the wallet: for now it is in core, but we can change everything: the impl (not complete now and more for testing) and where we want this impl (node or core)
Jul 14 14:14:31 <h4sh3d>	and last thing I added some test on core with GitHub Actions
Jul 14 14:15:27 <h4sh3d>	static analysis (clippy & fmt), compile with different targets (stable, nightly, ...), tests (unit & integration) and RPC tests (bitcoin transactions in regtest mode)
Jul 14 14:16:12 <h4sh3d>	for the latest I started a new repo 'containers' to output the containers we need (for now just bitcoin-core): https://github.com/farcaster-project/containers
Jul 14 14:16:17 <TheCharlatan>	nice, did clippy give you a lot to do?
Jul 14 14:17:24 <h4sh3d>	why not using existing images?  because the CI GH Action uses `docker create ...` and the arguments you control are not sufficient for using e.g. coblox/bitcoin-core (I can give details if someone wants)
Jul 14 14:17:33 <h4sh3d>	TheCharlatan: Yes :)
Jul 14 14:18:09 <h4sh3d>	so I removed `-- -D warnings` that turns all warn into errors
Jul 14 14:18:11 <h4sh3d>	haha
Jul 14 14:18:12 <h4sh3d>	for now
Jul 14 14:18:36 <h4sh3d>	there was 3-4 errors given by the current clippy and +50 warns
Jul 14 14:18:46 <TheCharlatan>	Ok, that still seems manageable. 
Jul 14 14:19:01 <h4sh3d>	oh, and I also played with GH settings
Jul 14 14:19:23 <h4sh3d>	for the location it was:  '#monero-swap on freenode'
