Aug 04 13:42:33 <h4sh3d>	Meeting in 15 minutes
Aug 04 14:02:12 <zkao>	hello
Aug 04 14:02:36 <h4sh3d>	Hi
Aug 04 14:03:18 <lederstrumpf[m]>	hi
Aug 04 14:05:57 <zkao>	So what is everybody up to?
Aug 04 14:07:17 <zkao>	thank you, TheCharlatan and h4sh3d for quickly reviewing my PR
Aug 04 14:08:17 <h4sh3d>	you did a good job
Aug 04 14:08:59 <h4sh3d>	I've been working on ECDSA and segwit v0 integration in core: https://github.com/farcaster-project/farcaster-core/pull/86
Aug 04 14:09:15 <h4sh3d>	I'll stop working on that PR as it might come too big otherwise
Aug 04 14:09:35 <h4sh3d>	but I have other refactor I want to do, but that's for next week I think
Aug 04 14:10:16 <h4sh3d>	tl;dr; the Bitcoin is now Bitcoin<Something> and there is a Bitcoin<Segwitv0> implementation.
Aug 04 14:10:44 <h4sh3d>	the Segwitv0 impl is features as experimental (feature enable by default for convinence for now)
Aug 04 14:11:05 <h4sh3d>	and it uses ecdsa_fun and secp256fun from LL Fournier
Aug 04 14:11:08 <zkao>	excellent!
Aug 04 14:11:51 <h4sh3d>	I can now create a SegwitV1Schnorr something for Schnorr in script and MuSig later with even more off-chain
Aug 04 14:12:06 <h4sh3d>	but this requires a lot of upstream work in rust-bitcoin too
Aug 04 14:12:30 <h4sh3d>	zkao, TheCharlatan fee free to review and merge
Aug 04 14:12:47 <zkao>	the PR is ready for review?
Aug 04 14:13:11 <h4sh3d>	yes
Aug 04 14:14:57 <h4sh3d>	last thing, the 'Wallet' (chain::pair::btcxmr::Wallet) in core is more a key manager than a Wallet, it knows the seed and how to generate keys and sign
Aug 04 14:15:04 <h4sh3d>	but the name is bad
Aug 04 14:15:26 <h4sh3d>	it is misleading I think
Aug 04 14:15:51 <h4sh3d>	happy to hear your opinions on that
Aug 04 14:15:41 <lederstrumpf[m]>	maybe KeyManager?
Aug 04 14:16:01 <lederstrumpf[m]>	basically the same, but does not overlap with actual wallet
Aug 04 14:17:10 <zkao>	anything else, h4sh3d ?
Aug 04 14:17:31 <h4sh3d>	if you agree with that yes
Aug 04 14:17:37 <h4sh3d>	no that's it for me
Aug 04 14:17:36 <zkao>	key manager is very clear for what it is
Aug 04 14:18:13 <h4sh3d>	next step is integrating the cross group dleq in core
Aug 04 14:18:28 <h4sh3d>	based on kayabaNerve ASMR work
Aug 04 14:18:44 <h4sh3d>	I'll see how I can import what's inside ASMR
Aug 04 14:18:58 <h4sh3d>	that's it (for real now :p)
Aug 04 14:19:07 <zkao>	ok, i continue working on the message exchanges in the node
Aug 04 14:19:15 <zkao>	this is how things are now:
Aug 04 14:19:17 <zkao>	https://sequencediagram.org/index.html#initialData=C4S2BsFMAIDEEMBOBjeBnYlHQHYHsATSAKGIAclRkQKdhpgB9Ad3nCmHMpGtvqbSsyXRFRrw6DRgDMkqDFgIixfKcnAhlPcZLKRFW3hPoBbRus0VR21Wdkp0mREqsrj0M4PjDXN92dZ2SE5iOzlHRWgAWgA+DxlwhWdoAC5ocHgAVxxkAAtoe3knAgAdHBMJTLZwAE9QhIckgmi4sMbi1PSsnPzAjiU2osUAHiiA6uCUgGEIaAAJSHY8eosW+MKI5LSAWXgAa0gAeWlpLGgACiJTxERIAgBKeo2m2PGg4GnZgHFggGlIGpoJ6JYqjN4cT7gaD-QEXfD8PDQABG
Aug 04 14:19:19 <zkao>	MFyi2aeBw0Aw8Ewj0GmwIrwaQ2cKV2B2O1wuyExoBwmUgaHxJMJxOexRSGWyeTKekiGgUOHI+mc7JBikh80W4GWBJeMXlnPgyFAADdcTA8CcsMQmBzIrEpAatl0efkTaVypVqnV9RLkkb7e1ImluT1oH1gkomF7gLFnaSCFKFks9eYNGtA4TOjMoQAVfZHHXYS6Qa63B7hv2jaNNKU-YAwoG+ib+mJ5zlx6EAtBwvAI5Go9HQTHY4Cax6VkZRbtk6uJykpml0kAMpld1lNKNTjpu7q8nD85K0nA4SCq8OW0bL4PV0OyrcOokV2eSlXqzWtlPZsu5s-92aD5PXW-vAMsMspZC3K8dg7YH6b4cB+lpSgAMguuQAMpCOGXhkDOlqxrMB
Aug 04 14:19:21 <zkao>	7LAIQjQKMxrHihCZJrB3jwZhRq7p02xoAA5tAz6IFMeAmCYYAioarQPs0OxUTRSZ0QxTGcEqrHxH65FcbR9GMcx4LBMSfrfr+mAeDxnplvUIlGoJprVpB5qEcIngkWxyFpPuMpyuxawGd4eHQBSkB6aQVmIaRoocbZXF2bxkmcBh1nYWRnHUZ5En8cR1kua67nUQASpAaqQGwLGOmxCGiTFcUJVC5z-mcIB1sAaLYpAOBEIgjxJc02FOWl0CxfFbAXBUAHQHlRUlVgLKpRpn7vDVAAKSDwCYQJkU6jCpYFtUZQ15xNbldZoMVpWTl1cSlr1k0DYgQ1AgAvLtACiJXXtAIVgFEdWZdAF77cQ+2eS1dYAEJ4Eit3SfQ3UiWkiDZGpZa
