Jan 26 17:01:34 <zkao>	16:00 UTC is now
Jan 26 17:03:36 <h4sh3d>	Hi
Jan 26 17:01:46 *	lederstrumpf[m] (~lederstru@2001:470:69fc:105::bc8) has joined
Jan 26 17:01:48 <zkao>	TheCharlatan, h4sh3d, lederstrumpf[m]
Jan 26 17:01:53 <TheCharlatan>	hello
Jan 26 17:02:02 <zkao>	localmonero05:
Jan 26 17:02:08 <localmonero05>	Hola. :)
Jan 26 17:05:20 <h4sh3d>	What's the agenda?
Jan 26 17:03:48 <zkao>	i'd guess the plan to move things into main net
Jan 26 17:06:09 *	mfoolb has quit (Ping timeout: 276 seconds)
Jan 26 17:08:46 <h4sh3d>	having a look at the current issue list its not obvious for me how to move forward to mainnet
Jan 26 17:07:36 <zkao>	that is correct, i find we have to work out the issues for mainnet
Jan 26 17:10:11 <h4sh3d>	do you think a new label is enough (as we did with reddit) or we need more work on the issues themselves?
Jan 26 17:08:43 <zkao>	im not a super big fan of rushing into mainnet, but the alternate implementation doesnt look superior to ours, and it self-proclaims itself mainnet ready, so we have to deal with that
Jan 26 17:09:24 <zkao>	maybe we ask in -community what is the take on this?
Jan 26 17:11:11 <TheCharlatan>	I would equate any such "mainnet" milestone with {m3\gui}
Jan 26 17:13:03 <h4sh3d>	we have the roadmap with milestone 3
Jan 26 17:13:27 <h4sh3d>	which is not really specific to mainnet
Jan 26 17:13:40 <h4sh3d>	its more: node + crypto + gui/tui/ux
Jan 26 17:13:59 <h4sh3d>	part of it makes it ready for mainnet IMO
Jan 26 17:14:41 <h4sh3d>	and some is independent: having a tui is not linked to mainnet readyness but more about user using the stuff
Jan 26 17:14:53 <h4sh3d>	that's how I see M3
Jan 26 17:13:33 <localmonero05>	there's a community meeting this Sunday zkao. You can bring it up during the meeting, possibly. https://github.com/monero-project/meta/issues/653
Jan 26 17:13:51 <localmonero05>	or you can PM luigi1111 as well.
Jan 26 17:13:53 <zkao>	we could make it mainnet prior to finishing M3, TheCharlatan, maybe we hardcode a threshold for amounts, so that people dont burn their xmr
Jan 26 17:13:56 *	mfoolb (~mfoolb@gateway/tor-sasl/mfoolb) has joined
Jan 26 17:14:22 <zkao>	say 0.1 xmr max or something, else fail
Jan 26 17:14:43 <zkao>	?
Jan 26 17:14:56 <TheCharlatan>	maybe 1xmr with the recent price developmnt ^^
Jan 26 17:16:53 <h4sh3d>	haha
Jan 26 17:15:40 <TheCharlatan>	so if mainnet is some subset of the m3 milestone, I'm sure we can identify some issues and label them.
Jan 26 17:18:26 <h4sh3d>	I don't know if anyone else share this view of mainnet> subset of M3
Jan 26 17:19:46 <zkao>	so what is the plan?
Jan 26 17:23:12 <h4sh3d>	for crypto: decide if we keep ecdsa or migrate over taproot only
Jan 26 17:23:38 <h4sh3d>	then try to find the new dependency to use (e.g. https://github.com/ElementsProject/secp256k1-zkp/tree/master/src/modules/ecdsa_adaptor)
Jan 26 17:21:47 *	afungible[m] (~afungible@2001:470:69fc:105::1:747c) has left
Jan 26 17:24:05 <zkao>	are all the dependencies for taproot ready upstream?
Jan 26 17:26:27 <h4sh3d>	I've to check again as it moved quite fast during end of the year
Jan 26 17:25:00 *	localmonero06 has quit (Quit: Leaving)
Jan 26 17:27:02 <h4sh3d>	0.28.0-rc1 8 days ago
Jan 26 17:27:11 <h4sh3d>	for rust-bitcoin
Jan 26 17:27:31 <h4sh3d>	and I think most of our needs is inside (that I didn't check)
Jan 26 17:26:15 <zkao>	what about ecdsa remains with the ecdsafun lib as it is, and for taproot we make it proper
